product_code,product_name,search_term,ingredients_text,allergens_tags,labels_tags,contains_dairy,contains_nuts,contains_peanuts,contains_gluten,contains_egg,contains_fish,contains_seafood,contains_soy,contains_sesame,source_dataset,confidence
8886303210207,Natural Coconut Cream,coconut milk,"Natural Coconut Cream (99.9%), Xanthan Gum, Guar Gum, Carrageenan.",['en:nuts'],"['en:vegetarian', 'en:no-gluten', 'en:halal', 'en:kosher', 'en:no-gmos', 'en:no-milk', 'en:no-preservatives', 'en:vegan', 'en:fsc', 'en:green-dot', 'en:iso-9001', 'en:no-colorings', 'en:no-flavors', 'en:non-gmo-project', 'en:organized-kashrut-kosher', 'fr:triman']",False,True,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
3229820797922,Coco sans sucres,coconut milk,"Eau, noix de coco 4%, eau de coco 4%, amidon de riz*, arômes naturels de coco*, stabilisants: gomme guar*, gomme gellane, sel marin. *Ingrédients biologiques",[],"['en:low-or-no-sugar', 'en:organic', 'en:eu-organic', 'en:non-eu-agriculture', 'en:certified-b-corporation', 'en:eu-agriculture', 'en:eu-non-eu-agriculture', 'en:fr-bio-01', 'en:made-in-italy', 'en:no-sugar', 'en:nutriscore', 'en:nutriscore-grade-b', 'fr:ab-agriculture-biologique']",False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
8997212610412,Organic Coconut Milk,coconut milk,organic coconut milk,[],"['en:vegetarian', 'en:no-gluten', 'en:organic', 'en:eu-organic', 'en:kosher', 'en:usda-organic', 'en:vegan', 'en:fr-bio-01', 'en:id-bio-154', 'en:no-additives', 'en:organized-kashrut-kosher', 'en:without-addition-of-dairy-products', 'fr:ab-agriculture-biologique', 'fr:triman']",False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
3760020500559,Coconut milk,coconut milk,"Extrait de noix de coco* 68%, eau, épaississant : gomme guar. *Produit issu de l'agriculture biologique. 99,3% du total des ingrédients d'origine agricole sont conformes aux standards du commerce équitable.",[],"['en:vegetarian', 'en:fair-trade', 'en:organic', 'en:eu-organic', 'en:vegan', 'en:1-for-the-planet', 'en:european-vegetarian-union', 'en:european-vegetarian-union-vegan', 'en:fr-bio-01', 'en:green-dot', 'en:lk-bio-149', 'en:no-bisphenol-a', 'fr:ab-agriculture-biologique', 'fr:boîte garantie sans bpa', 'fr:garantie etic : équitable']",False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
4056489346364,Coconut And Rice Milk,coconut milk,"water, 5.3% coconut milk (coconut cream, water), 3.3% rice, sea salt, natural coconut flavor, stabilizers: guar gum, gellan gum, xanthan gum,",[],"['en:vegetarian', 'en:organic', 'en:eu-organic', 'en:vegan', 'en:european-vegetarian-union', 'en:european-vegetarian-union-vegan', 'en:green-dot', 'en:it-bio-009', 'en:no-added-sugar', 'en:nutriscore', 'en:nutriscore-grade-b']",False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
8886303210207,Natural Coconut Cream,coconut cream,"Natural Coconut Cream (99.9%), Xanthan Gum, Guar Gum, Carrageenan.",['en:nuts'],"['en:vegetarian', 'en:no-gluten', 'en:halal', 'en:kosher', 'en:no-gmos', 'en:no-milk', 'en:no-preservatives', 'en:vegan', 'en:fsc', 'en:green-dot', 'en:iso-9001', 'en:no-colorings', 'en:no-flavors', 'en:non-gmo-project', 'en:organized-kashrut-kosher', 'fr:triman']",False,True,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
3229820797922,Coco sans sucres,coconut cream,"Eau, noix de coco 4%, eau de coco 4%, amidon de riz*, arômes naturels de coco*, stabilisants: gomme guar*, gomme gellane, sel marin. *Ingrédients biologiques",[],"['en:low-or-no-sugar', 'en:organic', 'en:eu-organic', 'en:non-eu-agriculture', 'en:certified-b-corporation', 'en:eu-agriculture', 'en:eu-non-eu-agriculture', 'en:fr-bio-01', 'en:made-in-italy', 'en:no-sugar', 'en:nutriscore', 'en:nutriscore-grade-b', 'fr:ab-agriculture-biologique']",False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
8997212610412,Organic Coconut Milk,coconut cream,organic coconut milk,[],"['en:vegetarian', 'en:no-gluten', 'en:organic', 'en:eu-organic', 'en:kosher', 'en:usda-organic', 'en:vegan', 'en:fr-bio-01', 'en:id-bio-154', 'en:no-additives', 'en:organized-kashrut-kosher', 'en:without-addition-of-dairy-products', 'fr:ab-agriculture-biologique', 'fr:triman']",False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
8886303210535,Lait de coco fluide,coconut cream,"Extrait de noix de coco fraîche (64%), eau, épaississants (Gomme xanthane et Gomme guar)",[],"['en:kosher', 'en:organized-kashrut-kosher']",False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
4056489842736,Lait de coco,coconut cream,"63% extrait de noix de coco, eau, stabilisant : gomme xanthane.",[],"['en:vegetarian', 'en:vegan', 'en:european-vegetarian-union', 'en:european-vegetarian-union-vegan', 'en:nutriscore', 'en:nutriscore-grade-c', 'fr:triman']",False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
3166291543200,Piment d'Espelette,chili powder,Piment d'Espelette.,[],['en:pdo'],False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
3162900031731,Piment d'Espelette A.O.P.,chili powder,,[],"['en:pdo', 'fr:aoc']",False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
3760101440286,Piment d espelette,chili powder,Piment d’espelette,[],[],False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
3547400900006,Piment d'Espelette AOP,chili powder,,[],"['en:pdo', 'fr:triman']",False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
3162050040843,Piment d'espelette AOP,chili powder,Piment d'espelette AOP,[],['en:pdo'],False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
3166296552337,Curry,curry powder,"Curcuma (38%), graine de coriandre (115) fenugrec (9.9%), graine de MOUTARDE, oignon déshydraté cardamome, gingembre, anis, fenouil, girofle, ail déshydrat cannelle, piment de la Jamaïque, plantes aromatiques Kurkuma (20%) karian.",['en:mustard'],[],False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
20249939,Curry en poudre,curry powder,"Curcuma, graines de coriandre, fenugrec, gingembre, cumin, sel iodé (sel, iodure de potassium), amidon de pomme de terre, piment de Cayenne,",[],"['en:organic', 'en:eu-organic', 'fr:ab-agriculture-biologique']",False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
3166296205523,Curry Madras,curry powder,"roasted cumin, roasted coriander seed (12%), coconut milk powder (coconut extract, maltodextrin, milk protein), salt, brown sugar, cayenne pepper (8%),, dehydrated garlic, ginger, mustard seed (4%), red pepper, turmeric, cinnamon, coriander leaf, black pepper, cloves,","['en:milk', 'en:mustard']",['fr:triman'],True,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
5010204914275,Medium Curry Powder,curry powder,"Coriander Seed, Cumin Seed. Onion, Salt, Chilli Powder, Fenugreek, Garlic Powder, Ginger, Paprika, Turmeric, Cinnamon, Black Pepper, Clove, Bay Leaf, Cardamom.",[],[],False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
4088600132068,Medium curry powder,curry powder,"CORIANDER SEEDS (27%), Salt, Maltodextrin, Turmeric Powder, GINGER POWDER (7%), CUMIN (6%), Fenugreek, Mustard Flour, Garlic Powder, Allspice, Cayenne Pepper, Black Pepper",['en:mustard'],[],False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
3760130560726,Farine complète de Riz Bio,rice flour,whole rice flour,[],"['en:no-gluten', 'en:organic', 'en:crossed-grain-trademark', 'en:eu-organic', 'en:de-oko-007', 'en:eu-agriculture', 'en:fr-bio-01', 'fr:ab-agriculture-biologique', 'fr:afdiag']",False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
7613039587003,Nestle lion wild cereal,rice flour,,[],['en:no-colorings'],False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
0076808003888,Gluten Free Spaghetti,rice flour,"CORN FLOUR, RICE FLOUR, MONO AND DIGLYCERIDES.",['en:none'],"['en:no-gluten', 'en:kosher', 'en:no-gmos', 'en:certified-gluten-free', 'en:made-in-usa', 'en:non-gmo-project', 'en:orthodox-union-kosher']",False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
3760275575463,Farine de riz gluant,rice flour,Farine de riz d'u Sticky rice traditionnel 100% Farine de riz gluant blanc issu de l'agriculture biologique,[],"['en:organic', 'en:eu-organic', 'en:fr-bio-10']",False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
5011766010085,Ryžová múka bezlepková,rice flour,"white rice, brown rice",[],['en:no-gluten'],False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
3083680918497,Cassegrain - Lentilles préparées 4/4,lentils,"Eau, lentilles sèches trempées 32%, carottes 3%, arômes, oignons déshydratés 0.7%, sel, feuille de laurier, affermissant : chlorure de calcium.

 

peut contenir des cécérales contenant du GLUTEN, SOJA",['en:gluten'],"['en:no-preservatives', 'en:nutriscore', 'en:nutriscore-grade-a', 'fr:triman']",False,False,False,True,False,False,False,False,False,open_food_facts,crowdsourced_reference
3760020508883,Lentilles façon petit salé,lentils,"water, green lentils dry 27%, pieces of vegetables to 10,2% (carrots, onions), pieces of cooked ham to 6,9% (ham of pig, water, salt, glucose syrup, raw cane sugar, natural aroma, antioxidant : ascorbic acid), sunflower oil, vegetable bouillon powder (sea salt, yeast extract, maize starch, sunflower oil, carrots, leeks, spices, aromatic plants, celery ), herbs,",['en:celery'],"['en:organic', 'en:certified-by-ecocert', 'en:eu-organic', 'en:non-eu-agriculture', 'en:1-for-the-planet', 'en:eu-agriculture', 'en:eu-non-eu-agriculture', 'en:made-in-france', 'en:no-flavors', 'en:nutriscore', 'en:nutriscore-grade-a', 'fr:ab-agriculture-biologique']",False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
3270160695621,"Crevettes à l'indienne, lentilles corail et légumes",lentils,"Lentille corail cuite 26,7%, queue de crevette crue décortiquée (CRUSTACÉS) 20%, eau, courgette 7,7%, yaourt nature brassé 1% de matière grasse (LAIT) 6,6%, carotte 5,5%, épinard 4,6%, tomate 4,6%, oignon 3%, poivron jaune 2,3%, échalote, lait de coco en poudre 1,1% [lait de noix de coco, maltodextrine, caséinate de sodium (LAIT)], fumet de POISSONS [eau, POISSONS, sel, huile de tournesol, vin blanc, fibre d'agrumes, oignon en poudre], huile d'olive vierge extra, beurre (LAIT), LAIT entier en poudre, jus de citron, farine de riz, ail, fibre de lin, huile de tournesol, sauce au POISSONS 0,15% (extrait de POISSONS (anchois), sel, eau), curcuma, coriandre en poudre, sel, basilic, cumin, gingembre, thym, cannelle, piment de cayenne. Peut contenir des traces de: œuf, arachide, céleri.","['en:crustaceans', 'en:fish', 'en:milk']","['en:source-of-fibre', 'en:source-of-proteins', 'en:high-proteins', 'en:nutriscore', 'en:nutriscore-grade-a', 'fr:triman']",True,False,False,False,False,True,True,False,False,open_food_facts,crowdsourced_reference
5013665115373,Lentil and Pea Cakes with Beetroot and Balsamic Flavour Seasoning,lentils,"Lentil Flour 76%, Rapeseed Oil, Beetroot, Balsamic Seasoning 7.2% (Sugar, Salt, Onion, Natural Flavour, Beetroot Red 8%, Garlic, Black Pepper, Balsamic Vinegar 0.7%), Green Peas 5.7%",[],"['en:vegetarian', 'en:no-gluten', 'en:source-of-fibre', 'en:source-of-proteins', 'en:vegan', 'en:certified-b-corporation', 'en:high-fibres', 'en:high-proteins', 'en:rich-in-vegetable-protein']",False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
3083681085891,Lentilles Vapeur,lentils,"Soaked dried lentls, water, salt, firming agent : calcium chloride May contain WHEAT",['en:celery'],"['en:no-preservatives', 'en:source-of-fibre', 'en:source-of-proteins', 'en:high-fibres', 'en:high-proteins', 'en:nutriscore', 'en:nutriscore-grade-a', 'en:végétalien', 'en:végétarien']",False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
6923818812082,Green Tea,tea,100% soluble coffee,[],[],False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
3168930159896,Ice Tea Pêche,tea,"Eau, sucre, fructose, acidifiants (acide citrique, acide malique), extrait de thé noir⁽¹⁾ (0,12%), jus de pêche à base de concentré (0,1%), correcteur d'acidité (citrate trisodique), arômes, antioxydant (acide ascorbique), édulcorant (Glycosides de stéviol issus de Stevia),⁽¹⁾ Certifié Rainforest Alliance.",[],"['en:green-dot', 'en:metal-recycles-forever', 'en:no-colorings', 'en:rainforest-alliance', 'fr:triman']",False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
6111175000741,41022,tea,,[],[],False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
3168930170549,Ice tea,tea,"Eau,sucre,fructose,acidifiants (acide citrique, acide malique),extrait de thé noir⁽¹⁾ (0,12%),jus de pêche à base de concentré (0,1%),correcteur d'acidité (citrate trisodique),arômes,antioxydant (acide ascorbique),édulcorant (Glycosides de stéviol issus de Stevia),⁽¹⁾ Certifié Rainforest Alliance.,Plus d'informations sur ra.org.,People and nature = l'humain et la nature.",[],"['en:no-colorings', 'en:rainforest-alliance', 'fr:triman', 'fr:faible en calories']",False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
6111252422428,saveur fruit rouge ice tea,tea,"Eau, sucre, acidulant (acide-citrique), extrait de thé noir (0,12%), jus de canneberge à base de concentré (0,1%), jus de framboise à base de concentré (0,1%), jus de mûre à base de concentré (0,09), arome (nature identique), Stabilisant (Polyphosphates) Conservateur (Sorbate de Potassium), antioxydant (acide ascorbique), édulcorant (Glycosides de Steviol).. مشروب غير غازى بخلاصات الشاي الأسود و عصير التوت - محلى بالسكر والمحليات. المكونات: ماء سكر مادة 190,12، عصير التوت البري من مركز (0,1%)، عصير ) وت العليق عن مركز (0,1%)، عصير ون 7/10/2024, 17:34 .(%0 LEICA ـود XIAOMI ر التوت الأسود من عصير التوت ثرت (بوني",[],['en:green-dot'],False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
5060108450386,Premium Ginger Beer,ginger beer,"Eau de source gazéifiée, sucre, gingembre, arôme naturel de gingembre avec autres arômes naturels, acidifiant (acide tartrique), antioxydant (acide ascorbique).",[],"['en:vegetarian', 'en:no-gluten', 'en:vegan']",False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
5060108450348,Premium Ginger Beer,ginger beer,"Eau de source gazéifiée, sucre de canne, gingembre, arômes naturels: acide tartrique, antioxydant: acide ascorbique.",[],['en:no-gluten'],False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
3124480193698,Ginger Beer,ginger beer,"Eau gazéifiée, sucre, correcteurs d'acidité: acide tartrique et citrate de sodium, stabilisant : gomme d'acacia, arome naturel de gingembre avec autres arômes naturels, antioxydant : acide ascorbique, conservateur : sorbate de potassium, édulcorants : acesulfame K et sucralose, extrait de gingembre,",[],[],False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
3770009345095,Ginger Beer,ginger beer,"eau gazéifiée, sirop de sucre de canne*, jus de citron concentré* (1,8%), extrait de gingembre* (0,2%), arôme naturel de gingembre. *Ingrédients issus de l'agriculture biologique.",[],"['en:organic', 'en:eu-organic', 'en:non-eu-agriculture', 'en:eu-agriculture', 'en:eu-non-eu-agriculture', 'en:fr-bio-01', 'en:green-dot', 'en:without-sweeteners', 'fr:ab-agriculture-biologique', 'fr:triman']",False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
9311493002220,Bundaberg Non Alcoholic Ginger Beer,ginger beer,"EAU GAZÉIFIÉE, SUCRE, RACINE DE GINGEMBRE, AROMES, ACIDE CITRIQUE LEVURE CONSERNATEURS: E202, E211,  ANTIOXYIDANT ACIDE ASCORBIQUE.",[],"['en:australian-made', 'en:green-dot']",False,False,False,False,False,False,False,False,False,open_food_facts,crowdsourced_reference
